"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"11.04.2024","18.075.95","18.076.00","18.104.45","18.065.95","10,29M","-0,11%"
"10.04.2024","18.095.96","18.078.89","18.239.50","17.975.84","83,35M","0,11%"
"09.04.2024","18.076.69","18.318.40","18.318.51","18.058.22","65,28M","-1,32%"
"08.04.2024","18.318.97","18.163.39","18.326.37","18.163.39","61,07M","0,79%"
"05.04.2024","18.175.04","18.401.83","18.401.83","18.088.03","77,05M","-1,24%"
"04.04.2024","18.403.13","18.366.37","18.427.43","18.340.24","62,52M","0,19%"
"03.04.2024","18.367.72","18.281.82","18.376.08","18.281.82","76,33M","0,46%"
"02.04.2024","18.283.13","18.492.36","18.567.16","18.275.94","82,08M","-1,13%"
"28.03.2024","18.492.49","18.477.40","18.513.83","18.468.87","75,72M","0,08%"
"27.03.2024","18.477.09","18.385.17","18.511.17","18.385.17","66,34M","0,50%"
"26.03.2024","18.384.35","18.262.11","18.411.98","18.256.81","58,79M","0,67%"
"25.03.2024","18.261.31","18.206.36","18.285.58","18.176.85","53,80M","0,30%"
"22.03.2024","18.205.94","18.175.08","18.225.97","18.140.99","68,62M","0,15%"
"21.03.2024","18.179.25","18.019.86","18.179.81","18.019.86","79,12M","0,91%"
"20.03.2024","18.015.13","17.987.91","18.044.49","17.955.69","61,71M","0,15%"
"19.03.2024","17.987.49","17.932.18","17.998.04","17.914.18","73,42M","0,31%"
"18.03.2024","17.932.68","17.936.31","18.015.49","17.902.92","63,02M","-0,02%"
"15.03.2024","17.936.65","17.938.14","18.038.11","17.926.72","202,91M","-0,03%"
"14.03.2024","17.942.04","18.002.97","18.039.05","17.899.93","93,59M","-0,11%"
"13.03.2024","17.961.38","17.984.50","18.001.42","17.939.56","92,88M","-0,02%"
"12.03.2024","17.965.11","17.810.15","17.973.22","17.746.89","91,39M","1,23%"
"11.03.2024","17.746.27","17.690.95","17.750.72","17.662.55","66,65M","-0,38%"                 
