"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10.04.2024","56.636.54","57.541.86","57.541.86","56.384.19","210.38M","-1.62%"
"09.04.2024","57.571.15","58.010.37","58.298.77","57.493.99","202.21M","-0.72%"
"08.04.2024","57.989.94","58.021.66","58.192.32","57.749.57","154.64M","-0.18%"
"05.04.2024","58.092.44","57.805.19","58.227.84","57.678.70","212.25M","0.36%"
"04.04.2024","57.882.76","57.539.47","58.207.42","57.516.25","184.74M","0.66%"
"03.04.2024","57.503.39","57.547.19","58.079.39","57.300.11","189.29M","-0.14%"
"02.04.2024","57.581.81","57.593.62","57.823.31","57.235.59","180.75M","-0.12%"
"01.04.2024","57.653.23","57.423.51","57.726.08","57.294.91","165.03M","0.50%"
"27.03.2024","57.369.01","57.182.86","57.599.08","57.007.55","114.25M","0.28%"
"26.03.2024","57.209.70","56.634.85","57.422.25","56.435.27","125.01M","1.16%"
"25.03.2024","56.552.54","56.565.11","56.820.30","56.311.99","89.28M","-0.10%"
"22.03.2024","56.610.54","56.676.82","56.805.66","56.517.40","170.06M","-0.08%"
"21.03.2024","56.657.44","56.715.25","57.015.82","56.544.05","197.84M","0.07%"
"20.03.2024","56.618.01","55.543.70","56.921.96","55.416.19","172.30M","1.93%"
"19.03.2024","55.548.07","56.137.15","56.137.15","55.494.10","194.97M","-1.21%"
"15.03.2024","56.228.40","56.163.26","56.575.51","55.855.16","935.20M","0.30%"
"14.03.2024","56.059.26","55.838.32","56.427.43","55.838.32","226.72M","0.38%"
"13.03.2024","55.848.72","54.902.31","55.881.67","54.853.52","205.03M","1.73%"
"12.03.2024","54.898.95","55.145.29","55.199.60","54.713.48","203.21M","-0.32%"
"11.03.2024","55.076.12","54.876.61","55.373.86","54.752.41","190.19M","0.26%"
